duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,image,library
1.627805,3.345459,2.205444,0.020935,0.952026,100Kb,pillow
1.630089,3.501526,2.350952,0.041199,0.999695,100Kb,pillow
1.630228,3.167114,2.135559,0.021240,0.946960,100Kb,pillow
1.423871,3.211731,2.132141,0.042358,0.891724,100Kb,pillow
1.733346,3.455627,2.245850,0.021301,1.006592,100Kb,pillow
1.518906,2.982300,1.991089,0.020935,0.887268,100Kb,pillow
1.630432,3.450623,2.307251,0.041016,0.998047,100Kb,pillow
1.834414,3.601196,2.343018,0.021484,1.060425,100Kb,pillow
1.732609,3.415771,2.258057,0.021973,1.011230,100Kb,pillow
1.732416,3.721497,2.560974,0.041443,1.076904,100Kb,pillow
1.630050,3.003418,1.975708,0.041443,0.904602,100Kb,pillow
2.141646,7.592468,5.590027,0.066345,1.405579,100Kb,wand
2.143036,7.336670,5.533142,0.017456,1.336121,100Kb,wand
1.731676,3.446106,2.264160,0.011597,0.988708,100Kb,wand
1.834261,4.873047,3.390503,0.012024,1.055176,100Kb,wand
1.632278,3.401794,2.250366,0.009583,0.934937,100Kb,wand
1.732153,3.443298,2.230957,0.011475,0.998962,100Kb,wand
1.629966,3.238892,2.112366,0.013062,0.937500,100Kb,wand
1.630485,3.391663,2.162964,0.010498,0.948792,100Kb,wand
1.732944,3.447021,2.241882,0.014099,0.989685,100Kb,wand
1.628948,3.441711,2.275879,0.008850,0.936951,100Kb,wand
1.630172,3.370361,2.233643,0.012085,0.943726,100Kb,wand
1.732742,3.541504,2.239868,0.018555,1.001831,100Kb,wand
1.629576,3.243652,2.111389,0.012817,0.940125,100Kb,wand
1.637752,3.480469,2.269958,0.009338,0.938599,100Kb,wand
1.624571,3.251770,2.090271,0.014160,0.937683,100Kb,wand
1.425347,2.935181,1.935730,0.009155,0.821411,100Kb,wand
1.628051,3.254517,2.115967,0.012756,0.940125,100Kb,wand
1.830108,3.742371,2.339722,0.015930,1.047119,100Kb,wand
1.631684,3.364563,2.176575,0.014526,0.947388,100Kb,wand
1.627929,3.246521,2.091064,0.012573,0.938904,100Kb,wand
1.731188,3.519531,2.310303,0.015320,0.994202,100Kb,wand
1.736258,3.566162,2.309082,0.009705,0.987610,100Kb,wand
1.627947,3.320984,2.136597,0.010742,0.936279,100Kb,wand
1.834960,3.604675,2.367126,0.014282,1.052917,100Kb,wand
1.527679,3.104309,2.028564,0.014404,0.887390,100Kb,wand
1.632436,3.480591,2.272217,0.014771,0.931458,100Kb,wand
1.628763,3.263123,2.123474,0.009216,0.926147,100Kb,wand
1.732756,3.480286,2.276489,0.012939,0.996216,100Kb,wand
1.630705,3.321350,2.189636,0.013428,0.943970,100Kb,wand
1.732975,3.332764,2.148560,0.009827,0.981873,100Kb,wand
1.732836,3.327515,2.266663,0.009827,0.959656,100Kb,wand
1.632838,3.124329,2.128540,0.009827,0.901978,100Kb,wand
1.735673,3.305725,2.247070,0.009827,0.960510,100Kb,wand
1.731823,3.351929,2.258484,0.009827,0.961609,100Kb,wand
1.630019,3.109497,2.121948,0.009827,0.903809,100Kb,wand
1.836391,3.359741,2.261230,0.009827,1.012939,100Kb,wand
1.639627,3.272644,2.221252,0.009827,0.912476,100Kb,wand
1.419632,2.966675,1.990784,0.004944,0.805359,100Kb,wand
1.528438,3.112000,2.138916,0.005615,0.870544,100Kb,wand
1.629428,3.024475,2.052368,0.005615,0.900879,100Kb,wand
2.039760,3.758667,2.446411,0.005615,1.125427,100Kb,wand
1.620993,3.734863,2.674500,0.005615,0.910461,100Kb,wand
1.629041,3.052856,2.081787,0.005615,0.900208,100Kb,wand
1.630269,3.072205,2.082336,0.005615,0.900269,100Kb,wand
1.527169,3.108215,2.138000,0.005615,0.863525,100Kb,wand
1.632672,3.111938,2.118408,0.005615,0.906738,100Kb,wand
2.042652,3.773682,2.525574,0.005188,1.141724,100Kb,wand
1.634715,3.463013,2.365356,0.005188,0.928162,100Kb,wand
1.729289,3.198914,2.196167,0.005188,0.949341,100Kb,wand
1.734376,3.130371,2.126770,0.005188,0.956848,100Kb,wand
1.731911,3.270020,2.190674,0.005188,0.954712,100Kb,wand
1.629526,3.048157,2.078552,0.005188,0.904236,100Kb,wand
2.039021,3.735840,2.434692,0.005188,1.125854,100Kb,wand
1.732601,3.273682,2.187744,0.005188,0.956482,100Kb,wand
