compute_time,download_size,download_time,video,library,upload_size,upload_time
1.375303,1000002,2.523414,1Mb,opencv,7932321,3.949048
1.331664,1000002,3.547607,1Mb,opencv,7932321,7.948346
1.344525,1000002,2.562159,1Mb,opencv,7932321,4.070488
1.363214,1000002,2.171733,1Mb,opencv,7932321,9.166703
1.356224,1000002,2.509863,1Mb,opencv,7932321,3.975484
1.333879,1000002,2.423418,1Mb,opencv,7932321,4.695489
1.361121,1000002,1.743416,1Mb,opencv,7932321,7.090559
1.335589,1000002,2.332954,1Mb,opencv,7932321,5.664069
1.344967,1000002,2.227973,1Mb,opencv,7932321,4.162525
1.335683,1000002,2.523715,1Mb,opencv,7932321,4.081929
1.36696,1000002,2.368578,1Mb,opencv,7932321,9.503358
1.3396,1000002,1.788903,1Mb,opencv,7932321,9.100788
1.344891,1000002,8.006011,1Mb,opencv,7932321,17.038451
1.360061,1000002,2.40813,1Mb,opencv,7932321,3.962722
1.34211,1000002,1.657072,1Mb,opencv,7932321,9.953276
1.346077,1000002,2.645737,1Mb,opencv,7932321,4.00845
1.344994,1000002,2.011739,1Mb,opencv,7932321,3.895194
1.3351,1000002,3.397045,1Mb,opencv,7932321,6.76812
1.344656,1000002,2.66087,1Mb,opencv,7932321,10.038553
1.346996,1000002,1.702413,1Mb,opencv,7932321,4.027311
1.365197,1000002,2.799422,1Mb,opencv,7932321,5.091531
1.33325,1000002,3.969123,1Mb,opencv,7932321,4.011284
1.343464,1000002,2.661732,1Mb,opencv,7932321,10.061585
1.358255,1000002,1.562394,1Mb,opencv,7932321,3.876934
1.352163,1000002,2.382421,1Mb,opencv,7932321,4.070375
1.335697,1000002,1.905076,1Mb,opencv,7932321,9.309596
1.34925,1000002,3.300946,1Mb,opencv,7932321,10.000579
1.334617,1000002,3.384074,1Mb,opencv,7932321,4.205837
1.341936,1000002,2.454415,1Mb,opencv,7932321,4.247019
1.334482,1000002,1.861551,1Mb,opencv,7932321,4.948043
1.372462,1000002,1.877096,1Mb,opencv,7932321,3.975208
