duration_seconds,cpu0_package_joules,cpu0_core_joules,cpu0_uncore_joules,cpu0_dram_joules,video,library
11.562371,29.474792,21.409485,0.004944,6.412537,540Kb,imageio
11.458016,29.249573,21.282166,0.004944,6.373413,540Kb,imageio
7.979825,25.080200,18.952026,0.004883,4.504883,540Kb,imageio
6.851710,22.282349,17.085144,0.004211,3.895264,540Kb,imageio
11.358511,28.623840,20.801086,0.004578,6.330627,540Kb,imageio
10.748654,29.276672,21.871033,0.004578,6.028076,540Kb,imageio
7.468507,23.495789,17.975647,0.004578,4.253418,540Kb,imageio
10.948403,28.582764,20.855713,0.004578,6.135986,540Kb,imageio
10.030656,26.765381,19.819641,0.005005,5.612305,540Kb,imageio
7.774121,25.296204,19.351807,0.005249,4.431946,540Kb,imageio
12.779278,37.597778,28.637512,0.009216,7.292419,540Kb,imageio
7.376678,23.749756,18.325806,0.004150,4.205261,540Kb,imageio
6.929533,23.541077,18.278320,0.005127,3.958496,540Kb,imageio
7.073490,22.609192,17.136414,0.004578,4.009033,540Kb,imageio
11.443341,29.316772,21.059204,0.004272,6.370117,540Kb,imageio
7.166162,22.763367,17.386780,0.004272,4.066406,540Kb,imageio
9.936122,27.468689,20.518433,0.004700,5.595947,540Kb,imageio
12.586954,30.501648,22.100220,0.004028,7.032043,540Kb,imageio
11.357802,29.545105,21.578491,0.004028,6.341003,540Kb,imageio
7.441635,24.884766,18.891968,0.005493,4.249390,540Kb,imageio
9.130640,25.616821,18.995361,0.003601,5.130859,540Kb,imageio
11.766922,30.465271,22.049744,0.003601,6.542542,540Kb,imageio
7.774345,23.885986,18.198853,0.004272,4.412048,540Kb,imageio
9.314433,26.670105,19.886169,0.003967,5.239868,540Kb,imageio
7.568515,23.432190,17.885681,0.003967,4.290222,540Kb,imageio
7.569719,23.386414,17.736206,0.003967,4.300598,540Kb,imageio
7.461551,23.713928,17.809875,0.003967,4.222961,540Kb,imageio
11.356413,30.196289,22.077271,0.003967,6.334595,540Kb,imageio
10.743693,28.107483,20.577576,0.003967,6.019226,540Kb,imageio
7.708293,23.788147,17.870483,0.003967,4.341736,540Kb,imageio
7.735767,24.185059,18.393372,0.004761,4.356018,540Kb,imageio
7.261868,23.022034,17.607971,0.004761,4.142151,540Kb,imageio
11.458416,29.432068,21.451965,0.004761,6.375732,540Kb,imageio
11.866274,30.982971,22.752502,0.004761,6.600098,540Kb,imageio
11.153045,30.006958,21.733215,0.005127,6.248657,540Kb,imageio
7.569098,23.574402,18.009216,0.005127,4.308716,540Kb,imageio
10.540243,27.533264,20.092590,0.003967,5.872437,540Kb,imageio
9.513155,27.028259,20.254211,0.003967,5.349670,540Kb,imageio
7.854593,23.316528,17.552429,0.003967,4.412842,540Kb,imageio
6.953139,22.391663,17.063171,0.003967,3.957703,540Kb,imageio
7.487054,22.752625,17.365051,0.003967,4.219604,540Kb,imageio
11.039365,28.702698,21.189636,0.003967,6.158081,540Kb,imageio
7.472950,23.202942,17.569580,0.003967,4.233765,540Kb,imageio
11.159195,28.352844,20.732056,0.004822,6.234253,540Kb,imageio
7.566353,24.878540,18.895203,0.004822,4.303650,540Kb,imageio
7.437363,23.336426,17.743591,0.004822,4.220581,540Kb,imageio
10.567723,27.104797,20.064575,0.004822,5.890930,540Kb,imageio
7.882880,24.081848,18.032166,0.004822,4.454529,540Kb,imageio
7.459284,23.798767,18.281738,0.004822,4.216858,540Kb,imageio
7.566862,23.540833,17.680298,0.004822,4.267761,540Kb,imageio
7.671618,24.300476,18.228516,0.008972,4.323242,540Kb,imageio
7.979702,23.751282,17.978882,0.008972,4.484863,540Kb,imageio
8.387929,25.157410,19.105591,0.008972,4.743652,540Kb,imageio
7.568273,23.189270,17.652100,0.008972,4.266785,540Kb,imageio
11.152570,29.143372,21.072144,0.008972,6.232239,540Kb,imageio
7.260346,23.329285,17.689758,0.008972,4.156372,540Kb,imageio
6.978282,23.095703,17.939209,0.008972,3.963989,540Kb,imageio
11.127102,28.058533,20.520752,0.005493,6.161316,540Kb,imageio
7.739523,23.976868,18.111450,0.005493,4.365784,540Kb,imageio
7.502143,23.055298,17.479675,0.005493,4.254517,540Kb,imageio
12.586135,31.198303,22.757141,0.005493,6.981079,540Kb,imageio
8.901708,25.802917,19.393127,0.005493,5.018860,540Kb,imageio
11.254345,29.003235,21.011963,0.005493,6.309021,540Kb,imageio
7.761809,24.815979,18.893311,0.004578,4.417847,540Kb,imageio
10.754886,27.716980,20.305054,0.004578,5.997131,540Kb,imageio
10.948849,28.223511,20.943970,0.004578,6.104980,540Kb,imageio
7.466284,26.870972,20.473267,0.004578,4.136902,540Kb,imageio
7.708538,24.619995,18.764771,0.004578,4.337463,540Kb,imageio
11.028675,28.791565,20.817505,0.004578,6.176208,540Kb,imageio
