compute_time,download_size,download_time,image,library,upload_size,upload_time
0.128564,100000,1.288465,100Kb,pygame,2134,0.377976
0.112981,100000,1.041306,100Kb,pygame,2134,0.438596
0.129781,100000,1.18531,100Kb,pygame,2134,0.479279
0.130538,100000,1.393135,100Kb,pygame,2134,0.479193
0.113522,100000,1.186423,100Kb,pygame,2134,0.395132
0.112988,100000,1.387677,100Kb,pygame,2134,0.395185
0.125769,100000,1.181443,100Kb,pygame,2134,0.484369
0.113082,100000,1.094062,100Kb,pygame,2134,0.383317
0.127723,100000,1.187251,100Kb,pygame,2134,0.481528
0.112973,100000,1.063775,100Kb,pygame,2134,0.413045
0.112996,100000,1.185228,100Kb,pygame,2134,0.39441
0.129608,100000,1.373145,100Kb,pygame,2134,0.397953
0.130035,100000,1.289716,100Kb,pygame,2134,0.479662
0.12739,100000,1.186651,100Kb,pygame,2134,0.462812
0.129776,100000,1.106065,100Kb,pygame,2134,0.47907
0.126493,100000,1.285223,100Kb,pygame,2134,0.488882
0.129059,100000,1.18983,100Kb,pygame,2134,0.480089
0.113826,100000,1.123093,100Kb,pygame,2134,0.454425
0.113125,100000,1.223966,100Kb,pygame,2134,0.460948
0.113383,100000,1.118105,100Kb,pygame,2134,0.463532
0.125344,100000,1.366771,100Kb,pygame,2134,0.482725
0.131487,100000,1.289814,100Kb,pygame,2134,0.47638
0.112855,100000,1.292661,100Kb,pygame,2134,0.391544
0.113237,100000,0.977124,100Kb,pygame,2134,0.479052
0.11304,100000,1.187262,100Kb,pygame,2134,0.394786
0.112996,100000,1.128232,100Kb,pygame,2134,0.453717
0.11308,100000,1.290148,100Kb,pygame,2134,0.49504
0.130416,100000,1.23562,100Kb,pygame,2134,0.427327
0.125926,100000,1.138166,100Kb,pygame,2134,0.433564
0.113275,100000,1.309779,100Kb,pygame,2134,0.478306
0.113036,100000,1.129524,100Kb,pygame,2134,0.449018
0.131947,100000,1.389515,100Kb,pygame,2134,0.478089
0.112994,100000,1.387177,100Kb,pygame,2134,0.50015
0.131753,100000,1.284838,100Kb,pygame,2134,0.479882
0.130106,100000,1.023905,100Kb,pygame,2134,0.439248
0.11308,100000,1.290456,100Kb,pygame,2134,0.497052
0.133791,100000,1.188185,100Kb,pygame,2134,0.475761
0.118538,100000,1.188324,100Kb,pygame,2134,0.388872
0.113092,100000,1.186786,100Kb,pygame,2134,0.49733
0.129517,100000,1.163925,100Kb,pygame,2134,0.400245
0.125216,100000,1.282905,100Kb,pygame,2134,0.387592
0.126208,100000,1.130927,100Kb,pygame,2134,0.43519
0.127198,100000,1.14347,100Kb,pygame,2134,0.42351
0.126905,100000,1.185771,100Kb,pygame,2134,0.482951
0.112997,100000,1.126181,100Kb,pygame,2134,0.458958
0.128461,100000,1.391748,100Kb,pygame,2134,0.479233
0.126595,100000,1.189301,100Kb,pygame,2134,0.381804
0.13316,100000,1.185545,100Kb,pygame,2134,0.475277
0.129515,100000,1.287956,100Kb,pygame,2134,0.480873
0.129355,100000,1.183677,100Kb,pygame,2134,0.378584
0.112918,100000,1.188642,100Kb,pygame,2134,0.393909
0.113328,100000,1.290763,100Kb,pygame,2134,0.393116
0.11319,100000,2.000649,100Kb,pygame,2134,0.397894
0.113282,100000,1.232788,100Kb,pygame,2134,0.656165
0.11304,100000,1.288368,100Kb,pygame,2134,0.393299
0.113142,100000,1.187831,100Kb,pygame,2134,0.497295
